TADA.CharacteristicName,Target.TADA.CharacteristicName,TADA.CharacteristicNameAssumptions,TADA.ResultSampleFractionText,Target.TADA.ResultSampleFractionText,TADA.FractionAssumptions,TADA.MethodSpeciationName,Target.TADA.MethodSpeciationName,TADA.SpeciationAssumptions,Target.TADA.SpeciationConversionFactor,HarmonizationGroup
NITRATE,,,TOTAL RECOVERABLE,UNFILTERED,"Assumes NITRATE, TOTAL RECOVERABLE is synonymous with NITRATE, UNFILTERED. However, almost all inorganic nitrates are soluble in water so results are likley comparable with NITRATE, FILTERED as well. ",AS N,,,,Nitrogen
NITRATE,,,,UNFILTERED,,,AS N,Assumes AS N,,Nitrogen
NITRATE + NITRITE,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS N,,,,Nitrogen
NITRATE + NITRITE,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,,AS N,Assumes AS N,,Nitrogen
NITRATE + NITRITE,,,FILTERABLE,FILTERED,"Assumes FILTERED, LAB and FILTERED, FIELD are equivalent to FILTERABLE and FILTERED. FILTERED is precise and preferred.",AS N,,,,Nitrogen
NITRATE + NITRITE,,,"FILTERED, FIELD",FILTERED,"Assumes FILTERED, LAB and FILTERED, FIELD are equivalent to FILTERABLE and FILTERED. FILTERED is precise and preferred.",AS N,,,,Nitrogen
NITRATE + NITRITE,,,INORGANIC,UNFILTERED,Assumes UNFILTERED,AS NO3,AS N,Converts speciation and result values from AS NO3 to AS N,0.225,Nitrogen
NITRATE + NITRITE,,,TOTAL,UNFILTERED,"Assumes NITRATE + NITRITE, TOTAL is synonymous to NITRATE + NITRITE, UNFILTERED.",AS N,,,,Nitrogen
NITRATE + NITRITE,,,TOTAL,UNFILTERED,"Assumes NITRATE + NITRITE, TOTAL is synonymous to NITRATE + NITRITE, UNFILTERED.",,AS N,Assumes AS N,,Nitrogen
NITRATE + NITRITE,,,TOTAL RECOVERABLE,UNFILTERED,"Assumes NITRATE + NITRITE, TOTAL RECOVERABLE is synonymous to NITRATE + NITRITE, UNFILTERED.",AS N,,,,Nitrogen
NITRATE + NITRITE,,,UNFILTERED,,,AS N,,,,Nitrogen
NITRITE,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS N,,,,Nitrogen
NITRITE,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS NO2,AS N,Converts speciation and result values from AS NO2 to AS N,0.304,Nitrogen
NITRITE,,,"FILTERED, LAB",FILTERED,"Assumes FILTERED, LAB and FILTERED, FIELD are equivalent to FILTERABLE and FILTERED. FILTERED is precise and preferred.",AS N,,,,Nitrogen
NITRITE,,,TOTAL,UNFILTERED,Assumes TOTAL is synonmous with UNFILTERED.,AS N,,,,Nitrogen
NITRITE,,,TOTAL RECOVERABLE,UNFILTERED,Assumes TOTAL RECOVERABLE is synonmous with UNFILTERED.,AS N,,,,Nitrogen
NITROGEN,"TOTAL NITROGEN, MIXED FORMS","Assumes NITROGEN is synonymous with TOTAL NITROGEN, MIXED FORMS.",TOTAL,UNFILTERED,"Assumes NITROGEN, TOTAL is synonymous to TOTAL NITROGEN, MIXED FORMS, UNFILTERED",AS N,,,,Nitrogen
NITROGEN,"TOTAL NITROGEN, MIXED FORMS","Assumes NITROGEN is synonymous with TOTAL NITROGEN, MIXED FORMS.",TOTAL,UNFILTERED,"Assumes NITROGEN, TOTAL is synonymous to TOTAL NITROGEN, MIXED FORMS, UNFILTERED",,AS N,Assumes AS N,,Nitrogen
NITROGEN,"TOTAL NITROGEN, MIXED FORMS","Assumes NITROGEN is synonymous with TOTAL NITROGEN, MIXED FORMS.",UNFILTERED,,,AS N,,,,Nitrogen
"NITROGEN, MIXED FORMS (NH3), (NH4), ORGANIC, (NO2) AND (NO3)","TOTAL NITROGEN, MIXED FORMS","Assumes NITROGEN is synonymous with TOTAL NITROGEN, MIXED FORMS.",DISSOLVED,FILTERED,Assumes DISSOLVED is synonymous to FILTERED. FILTERED is precise and preferred.,,AS N,Assumes AS N,,Nitrogen
"NITROGEN, MIXED FORMS (NH3), (NH4), ORGANIC, (NO2) AND (NO3)","TOTAL NITROGEN, MIXED FORMS","Assumes NITROGEN, MIXED FORMS (NH3), (NH4), ORGANIC, (NO2) AND (NO3) is synonymous to TOTAL NITROGEN, MIXED FORMS.",TOTAL,UNFILTERED,"Assumes NITROGEN, MIXED FORMS (NH3), (NH4), ORGANIC, (NO2) AND (NO3), TOTAL is synonymous to TOTAL NITROGEN, MIXED FORMS, UNFILTERED",,AS N,Assumes AS N,,Nitrogen
ORGANIC CARBON,,,DISSOLVED,FILTERED,,,,,,Carbon
ORGANIC CARBON,,,TOTAL,UNFILTERED,,,,,,Carbon
ORGANIC NITROGEN,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,,AS N,Assumes AS N,,Nitrogen
ORGANIC NITROGEN,,,TOTAL,UNFILTERED,"Assumes ORGANIC NITROGEN, TOTAL is synonymous to ORGANIC NITROGEN, UNFILTERED.",,AS N,Assumes AS N,,Nitrogen
ORTHOPHOSPHATE,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS P,,,,Phosphorus
