date,temp
2012-08-20,18.53263888888889
2012-08-21,18.533333333333335
2012-08-22,18.641666666666666
2012-08-23,19.219444444444445
2012-08-24,18.733333333333334
2012-08-25,19.238194444444446
2012-08-26,19.650694444444444
2012-08-27,19.150694444444444
2012-08-28,19.571527777777778
2012-08-29,19.15625
2012-08-30,19.50347222222222
2012-08-31,19.749305555555555
2012-09-01,20.04375
2012-09-02,19.7375
2012-09-03,19.777083333333334
2012-09-04,20.215972222222224
2012-09-05,19.83263888888889
2012-09-06,19.63611111111111
2012-09-07,19.647916666666667
2012-09-08,18.927777777777777
2012-09-09,17.848936170212767
2012-09-10,
2012-09-11,
2012-09-12,14.133333333333333
2012-09-13,
2012-09-14,
2012-09-15,
2012-09-16,
2012-09-17,
2012-09-18,
2012-09-19,
2012-09-20,
2012-09-21,
