date,site,latitude,longitude,huc,source,discharge
2010-01-10T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,174
2010-01-10T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,154
2010-01-11T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.73
2010-01-11T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,959
2010-01-11T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,77.7
2010-01-11T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,139
2010-01-11T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,18
2010-01-11T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.5
2010-01-11T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.47
2010-01-11T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,174
2010-01-11T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,145
2010-01-12T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.67
2010-01-12T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,972
2010-01-12T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,75.8
2010-01-12T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,134
2010-01-12T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,18
2010-01-12T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.5
2010-01-12T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.47
2010-01-12T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,176
2010-01-12T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,144
2010-01-13T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.7
2010-01-13T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,945
2010-01-13T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,74.5
2010-01-13T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,131
2010-01-13T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,18.1
2010-01-13T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.7
2010-01-13T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.44
2010-01-13T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,174
2010-01-13T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,154
2010-01-14T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.67
2010-01-14T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,957
2010-01-14T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,74.4
2010-01-14T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,129
2010-01-14T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.9
2010-01-14T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.6
2010-01-14T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.42
2010-01-14T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,178
2010-01-14T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,154
2010-01-15T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.7
2010-01-15T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,926
2010-01-15T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,74.4
2010-01-15T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,129
2010-01-15T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.8
2010-01-15T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.1
2010-01-15T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.35
2010-01-15T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,178
2010-01-15T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,154
2010-01-16T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.94
2010-01-16T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,962
2010-01-16T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,72.4
2010-01-16T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,129
2010-01-16T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.9
2010-01-16T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.6
2010-01-16T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.27
2010-01-16T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,174
2010-01-16T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,150
2010-01-17T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,4.1
2010-01-17T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,1000
2010-01-17T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,74.4
2010-01-17T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,130
2010-01-17T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,18.3
2010-01-17T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.6
2010-01-17T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.14
2010-01-17T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,178
2010-01-17T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,150
2010-01-18T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,4.04
2010-01-18T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,933
2010-01-18T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,72.4
2010-01-18T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,131
2010-01-18T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,18
2010-01-18T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.1
2010-01-18T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,1.02
2010-01-18T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,174
2010-01-18T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,150
2010-01-19T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.94
2010-01-19T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,945
2010-01-19T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,72.4
2010-01-19T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,131
2010-01-19T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.7
2010-01-19T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.1
2010-01-19T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,0.95
2010-01-19T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,178
2010-01-19T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,151
2010-01-20T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.88
2010-01-20T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,945
2010-01-20T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,70.4
2010-01-20T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,129
2010-01-20T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.5
2010-01-20T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.1
2010-01-20T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,0.95
2010-01-20T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,174
2010-01-20T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,153
2010-01-21T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,4.01
2010-01-21T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,889
2010-01-21T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,68.4
2010-01-21T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,129
2010-01-21T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.7
2010-01-21T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.3
2010-01-21T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,0.86
2010-01-21T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,174
2010-01-21T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,153
2010-01-22T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,4.22
2010-01-22T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,913
2010-01-22T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,68.4
2010-01-22T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,125
2010-01-22T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,17.9
2010-01-22T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.4
2010-01-22T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,0.83
2010-01-22T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,178
2010-01-22T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,144
2010-01-23T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,4.36
2010-01-23T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,860
2010-01-23T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,74.4
2010-01-23T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,123
2010-01-23T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,18
2010-01-23T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,50.8
2010-01-23T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,0.83
2010-01-23T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,187
2010-01-23T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,146
2010-01-24T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,4.39
2010-01-24T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,851
2010-01-24T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,76.4
2010-01-24T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,130
2010-01-24T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,21.9
2010-01-24T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,57.2
2010-01-24T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,2.06
2010-01-24T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,204
2010-01-24T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,158
2010-01-25T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,4.26
2010-01-25T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,857
2010-01-25T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,80.4
2010-01-25T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,131
2010-01-25T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,22
2010-01-25T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,60.3
2010-01-25T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,5.28
2010-01-25T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,243
