PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,VALXSITE,LAT_DD,LON_DD,STATION_DEPTH,,YEAR,DSGN_CYCLE,IND_DOMAIN,COUNTRY,EPA_REG,EVAL_CAT,FEAT_NM,GREAT_LAKE,LAKE_REG,LAT_DD83,LON_DD83,NCCA_REG,NPS_PARK,PROVINCE,SITETYPE,STATE_NM,XCOORD,YCOORD
5/2/2024,NGL_OH-10002,2014818,NGL20_OH-10002,1,8/24/2020,OH,Great Lakes,41.51047484,-82.1391148,13.9,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.51047484,-82.1391148,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1144205.119,532942.8442
5/2/2024,NGL_OH-10011,2012465,NGL20_OH-10010,1,8/24/2020,OH,Great Lakes,41.91982083,-80.8599751,15.5,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.91982083,-80.8599751,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1241673.958,594273.7981
5/2/2024,NGL_MI-10059,2012471,NGL20_MI-10022,2,8/25/2020,MI,Great Lakes,45.75036237,-84.56395124,26,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.75036237,-84.56395124,Great Lakes,,Great Lakes Province,PROB,Michigan,888324.4366,975870.3663
5/2/2024,NGL_MI-10031,2012470,NGL20_MI-10088,2,8/25/2020,MI,Great Lakes,45.93795323,-84.9940484,13.5,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,45.93795323,-84.9940484,Great Lakes,,Great Lakes Province,PROB,Michigan,852660.9823,992615.9441
5/2/2024,NGL_OH-10013,2012248,NGL20_OH-10012,1,8/25/2020,OH,Great Lakes,41.5528178,-82.70084174,11.6,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.5528178,-82.70084174,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1097483.539,531008.4064
5/2/2024,NGL_MI-10512,2012487,NGL20_MI-10044,1,8/27/2020,MI,Great Lakes,45.6372607,-84.22484337,2.2,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.6372607,-84.22484337,Great Lakes,,Great Lakes Province,PROB,Michigan,916085.2918,966619.3204
5/2/2024,NGL_OH-10006,2012326,NGL20_OH-10006,1,8/27/2020,OH,Great Lakes,41.42889665,-82.58177787,9.5,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.42889665,-82.58177787,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1109195.775,518657.7826
5/2/2024,NGL_MI-10073,2014747,NGL20_MI-10035,1,8/28/2020,MI,Great Lakes,45.36533853,-83.55898448,21,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.36533853,-83.55898448,Great Lakes,,Great Lakes Province,PROB,Michigan,971544.6968,943255.3434
5/2/2024,NGL_MI-10519,2014757,NGL20_MI-10051,1,8/30/2020,MI,Great Lakes,45.51081838,-84.05337498,17.7,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,45.51081838,-84.05337498,Great Lakes,,Great Lakes Province,PROB,Michigan,931116.9941,954344.7488
5/2/2024,NGL_MI-10537,2014756,NGL20_MI-10106,1,8/30/2020,MI,Great Lakes,42.3276801,-86.33477526,15.3,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,42.3276801,-86.33477526,Great Lakes,,Great Lakes Province,PROB,Michigan,790030.9277,580983.1316
