,,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2,Discharge.Daily@NFT2
yyyy-mm-dd,HH:MM:SS,ft^3/s,,,
Date,Time,Value,Grade,Approval,InterpolationCode
4/29/15,0:00:00,0.1,31,,8
4/30/15,0:00:00,0.1,31,,8
5/1/15,0:00:00,0,31,,8
5/2/15,0:00:00,0,31,,8
5/3/15,0:00:00,0,31,,8
5/4/15,0:00:00,0,31,,8
5/5/15,0:00:00,0,31,,8
5/6/15,0:00:00,0.1,31,,8
5/7/15,0:00:00,0.1,31,,8
5/8/15,0:00:00,0.2,31,,8
5/9/15,0:00:00,0.1,31,,8
5/10/15,0:00:00,0,31,,8
5/11/15,0:00:00,0.8,31,,8
5/12/15,0:00:00,1.1,31,,8
5/13/15,0:00:00,0.6,31,,8
5/14/15,0:00:00,0.3,31,,8
5/15/15,0:00:00,0.5,31,,8
5/16/15,0:00:00,0.4,31,,8
5/17/15,0:00:00,0.2,31,,8
5/18/15,0:00:00,0.3,31,,8
5/19/15,0:00:00,0.1,31,,8
5/20/15,0:00:00,0.1,31,,8
5/21/15,0:00:00,0,31,,8
5/22/15,0:00:00,0,31,,8
5/23/15,0:00:00,0,31,,8
5/24/15,0:00:00,0,31,,8
5/25/15,0:00:00,0.2,31,,8
5/26/15,0:00:00,0.2,31,,8
5/27/15,0:00:00,0.4,31,,8
5/28/15,0:00:00,0.2,31,,8
5/29/15,0:00:00,0.1,31,,8
5/30/15,0:00:00,0,31,,8
5/31/15,0:00:00,0,31,,8
6/1/15,0:00:00,0,31,,8
6/2/15,0:00:00,0,31,,8
6/3/15,0:00:00,0,31,,8
6/4/15,0:00:00,2,31,,8
6/5/15,0:00:00,0.6,31,,8
6/6/15,0:00:00,0.1,31,,8
6/7/15,0:00:00,0.2,31,,8
6/8/15,0:00:00,0.1,31,,8
6/9/15,0:00:00,0,31,,8
6/10/15,0:00:00,0,31,,8
6/11/15,0:00:00,0,31,,8
6/12/15,0:00:00,0,31,,8
6/13/15,0:00:00,0,31,,8
6/14/15,0:00:00,0,31,,8
6/15/15,0:00:00,0,31,,8
6/16/15,0:00:00,0,31,,8
6/17/15,0:00:00,0,31,,8
6/18/15,0:00:00,0,31,,8
6/19/15,0:00:00,0,31,,8
6/20/15,0:00:00,0,31,,8
6/21/15,0:00:00,0,31,,8
6/22/15,0:00:00,0,31,,8
6/23/15,0:00:00,0,31,,8
6/24/15,0:00:00,0,31,,8
6/25/15,0:00:00,0,31,,8
6/26/15,0:00:00,0,31,,8
6/27/15,0:00:00,0,31,,8
6/28/15,0:00:00,0,31,,8
6/29/15,0:00:00,0,31,,8
6/30/15,0:00:00,0.1,31,,8
7/1/15,0:00:00,0,31,,8
7/2/15,0:00:00,0,31,,8
7/3/15,0:00:00,0,31,,8
7/4/15,0:00:00,0,31,,8
7/5/15,0:00:00,0,31,,8
7/6/15,0:00:00,1,31,,8
7/7/15,0:00:00,0.5,31,,8
7/8/15,0:00:00,0.1,31,,8
7/9/15,0:00:00,0,31,,8
7/10/15,0:00:00,0,31,,8
7/11/15,0:00:00,0,31,,8
7/12/15,0:00:00,0,31,,8
7/13/15,0:00:00,0.2,31,,8
7/14/15,0:00:00,0.1,31,,8
7/15/15,0:00:00,0,31,,8
7/16/15,0:00:00,0,31,,8
7/17/15,0:00:00,0,31,,8
7/18/15,0:00:00,0,31,,8
7/19/15,0:00:00,0,31,,8
7/20/15,0:00:00,0,31,,8
7/21/15,0:00:00,0,31,,8
7/22/15,0:00:00,0,31,,8
7/23/15,0:00:00,0,31,,8
7/24/15,0:00:00,0,31,,8
7/25/15,0:00:00,0,31,,8
7/26/15,0:00:00,0,31,,8
7/27/15,0:00:00,0,31,,8
7/28/15,0:00:00,0,31,,8
7/29/15,0:00:00,,,,8
7/30/15,0:00:00,,,,8
7/31/15,0:00:00,,,,8
8/1/15,0:00:00,,,,8
8/2/15,0:00:00,,,,8
8/3/15,0:00:00,,,,8
8/4/15,0:00:00,,,,8
8/5/15,0:00:00,,,,8
8/6/15,0:00:00,,,,8
8/7/15,0:00:00,,,,8
8/8/15,0:00:00,,,,8
8/9/15,0:00:00,,,,8
8/10/15,0:00:00,,,,8
8/11/15,0:00:00,,,,8
8/12/15,0:00:00,,,,8
8/13/15,0:00:00,,,,8
8/14/15,0:00:00,,,,8
8/15/15,0:00:00,,,,8
8/16/15,0:00:00,,,,8
8/17/15,0:00:00,,,,8
8/18/15,0:00:00,,,,8
8/19/15,0:00:00,,,,8
8/20/15,0:00:00,,,,8
8/21/15,0:00:00,,,,8
8/22/15,0:00:00,,,,8
8/23/15,0:00:00,,,,8
8/24/15,0:00:00,,,,8
8/25/15,0:00:00,,,,8
8/26/15,0:00:00,,,,8
8/27/15,0:00:00,,,,8
8/28/15,0:00:00,,,,8
8/29/15,0:00:00,,,,8
8/30/15,0:00:00,,,,8
8/31/15,0:00:00,,,,8
9/1/15,0:00:00,,,,8
9/2/15,0:00:00,,,,8
9/3/15,0:00:00,,,,8
