Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC
yyyy-mm-dd	HH:MM:SS	ft^3/s			
Date	Time	Value	Grade	Approval	InterpolationCode
12/3/2015	0:00:00	1.489576083	3		8
12/4/2015	0:00:00	1.438972988	3		8
12/5/2015	0:00:00	1.654056104	3		8
12/6/2015	0:00:00	1.752827679	3		8
12/7/2015	0:00:00	0.96254848	3		8
12/8/2015	0:00:00	0.703182309	3		8
12/9/2015	0:00:00	0.943448018	3		8
12/10/2015	0:00:00	6.88215803	3		8
12/11/2015	0:00:00	22.44795209	3		8
12/12/2015	0:00:00	4.13369382	3		8
12/13/2015	0:00:00	8.233260162	3		8
12/14/2015	0:00:00	15.80326246	3		8
12/15/2015	0:00:00	7.229322555	3		8
12/16/2015	0:00:00	4.500203108	3		8
12/17/2015	0:00:00	7.083044284	3		8
12/18/2015	0:00:00	2.173824236	3		8
12/19/2015	0:00:00	0.68324027	3		8
12/20/2015	0:00:00	0.489068839	3		8
12/21/2015	0:00:00	0.454717321	3		8
12/22/2015	0:00:00	0.396681288	3		8
12/23/2015	0:00:00	0.448205499	3		8
12/24/2015	0:00:00	0.463379756	3		8
12/25/2015	0:00:00	0.372042979	3		8
12/26/2015	0:00:00	0.36457953	3		8
12/27/2015	0:00:00	0.325104493	3		8
12/28/2015	0:00:00	0.33539026	3		8
12/29/2015	0:00:00	0.346322837	3		8
12/30/2015	0:00:00	0.328605964	3		8
12/31/2015	0:00:00	0.312858793	3		8
1/1/2016	0:00:00	0.295382065	3		8
1/2/2016	0:00:00	0.270636591	3		8
1/3/2016	0:00:00	0.229808977	3		8
1/4/2016	0:00:00	0.194313969	3		8
1/5/2016	0:00:00	na		na		8
1/6/2016	0:00:00	na		na		8
1/7/2016	0:00:00	na		na		8
1/8/2016	0:00:00	na		na		8
1/9/2016	0:00:00	na		na		8
1/10/2016	0:00:00	na		na		8
1/11/2016	0:00:00	na		na		8
1/12/2016	0:00:00	na		na		8
1/13/2016	0:00:00	na		na		8
1/14/2016	0:00:00	na		na		8
1/15/2016	0:00:00	na		na		8
1/16/2016	0:00:00	na		na		8
1/17/2016	0:00:00	na		na		8
1/18/2016	0:00:00	na		na		8
1/19/2016	0:00:00	na		na		8
1/20/2016	0:00:00	na		na		8
1/21/2016	0:00:00	na		na		8
1/22/2016	0:00:00	na		na		8
1/23/2016	0:00:00	na		na		8
1/24/2016	0:00:00	na		na		8
1/25/2016	0:00:00	na		na		8
1/26/2016	0:00:00	na		na		8
1/27/2016	0:00:00	na		na		8
1/28/2016	0:00:00	na		na		8
1/29/2016	0:00:00	na		na		8
1/30/2016	0:00:00	na		na		8
1/31/2016	0:00:00	na		na		8
2/1/2016	0:00:00	na		na		8
2/2/2016	0:00:00	na		na		8
2/3/2016	0:00:00	na		na		8
2/4/2016	0:00:00	na		na		8
2/5/2016	0:00:00	na		na		8
2/6/2016	0:00:00	na		na		8
2/7/2016	0:00:00	na		na		8
2/8/2016	0:00:00	na		na		8
2/9/2016	0:00:00	na		na		8
2/10/2016	0:00:00	na		na		8
2/11/2016	0:00:00	na		na		8
2/12/2016	0:00:00	na		na		8
2/13/2016	0:00:00	na		na		8
2/14/2016	0:00:00	na		na		8
2/15/2016	0:00:00	na		na		8
2/16/2016	0:00:00	na		na		8
2/17/2016	0:00:00	na		na		8
2/18/2016	0:00:00	0.06169572	3		8
2/19/2016	0:00:00	0.123189545	3		8
2/20/2016	0:00:00	0.281362541	3		8
2/21/2016	0:00:00	3.315289677	3		8
2/22/2016	0:00:00	3.511497441	3		8
2/23/2016	0:00:00	1.390197626	3		8
2/24/2016	0:00:00	1.155273698	3		8
2/25/2016	0:00:00	1.038750567	3		8
2/26/2016	0:00:00	0.894600052	3		8
2/27/2016	0:00:00	1.02772378	3		8
2/28/2016	0:00:00	2.076757602	3		8
2/29/2016	0:00:00	1.77189862	3		8
3/1/2016	0:00:00	1.129497281	3		8
3/2/2016	0:00:00	0.688763273	3		8
3/3/2016	0:00:00	0.401173823	3		8
3/4/2016	0:00:00	0.166940702	3		8
3/5/2016	0:00:00	0.073242036	3		8
3/6/2016	0:00:00	0.156697266	3		8
3/7/2016	0:00:00	10.43587226	11		8
3/8/2016	0:00:00	126.5468338	11		8
3/9/2016	0:00:00	84.01308397	11		8
3/10/2016	0:00:00	11.75121042	11		8
3/11/2016	0:00:00	12.15745563	11		8
3/12/2016	0:00:00	11.34843538	11		8
3/13/2016	0:00:00	8.283302129	11		8
3/14/2016	0:00:00	7.68050423	11		8
3/15/2016	0:00:00	46.42286582	11		8
3/16/2016	0:00:00	283.6607531	11		8
3/17/2016	0:00:00	23.99860966	11		8
3/18/2016	0:00:00	8.334619347	11		8
3/19/2016	0:00:00	3.156973876	11		8
3/20/2016	0:00:00	2.666999944	11		8
3/21/2016	0:00:00	2.281387301	11		8
3/22/2016	0:00:00	1.951972499	11		8
3/23/2016	0:00:00	1.381460014	11		8
3/24/2016	0:00:00	1.095458502	11		8
3/25/2016	0:00:00	0.943907051	11		8
3/26/2016	0:00:00	1.373899113	11		8
3/27/2016	0:00:00	2.875669774	11		8
3/28/2016	0:00:00	14.46803329	11		8
3/29/2016	0:00:00	6.601568372	51		8
3/30/2016	0:00:00	10.15205018	51		8
3/31/2016	0:00:00	6.591046075	51		8
4/1/2016	0:00:00	2.717160836	51		8
4/2/2016	0:00:00	1.597129918	51		8
4/3/2016	0:00:00	1.309370523	51		8
4/4/2016	0:00:00	1.193690112	51		8
4/5/2016	0:00:00	1.189881659	51		8
4/6/2016	0:00:00	1.462361756	51		8
4/7/2016	0:00:00	3.040130177	51		8
4/8/2016	0:00:00	4.139354807	51		8
4/9/2016	0:00:00	4.445323632	51		8
4/10/2016	0:00:00	26.2829832	51		8
4/11/2016	0:00:00	12.69467797	51		8
4/12/2016	0:00:00	3.889201476	51		8
4/13/2016	0:00:00	2.683957388	51		8
4/14/2016	0:00:00	1.986611597	31		8
4/15/2016	0:00:00	1.485456758	31		8
4/16/2016	0:00:00	1.194132873	31		8
4/17/2016	0:00:00	1.034289939	31		8
4/18/2016	0:00:00	0.943967532	31		8
4/19/2016	0:00:00	0.889833854	31		8
4/20/2016	0:00:00	0.870744931	31		8
4/21/2016	0:00:00	0.888330061	31		8
4/22/2016	0:00:00	0.816457066	31		8
4/23/2016	0:00:00	0.733457492	31		8
4/24/2016	0:00:00	1.448936411	31		8
4/25/2016	0:00:00	73.24986626	31		8
