"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"lkspowq  ","P",05/06/2025 17:45,0,1,"",16.2,<0> ,0.16,<0> ,0.1,<0> ,96.9,<0> ,9.5,<0> ,0.42,<0> ,0.41,<3> ,"",<-1> ,"","",7.5,<0> ,74,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 18:00,0,1,"",15.4,<0> ,0.16,<0> ,0.1,<0> ,93.6,<0> ,9.4,<0> ,0.4,<0> ,0.39,<3> ,"",<-1> ,"","",7.5,<0> ,77,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 18:15,0,1,"",15.1,<0> ,0.15,<0> ,0.1,<0> ,92.6,<0> ,9.3,<0> ,0.39,<0> ,0.37,<3> ,"",<-1> ,"","",7.5,<0> ,76,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 18:30,0,1,"",16.4,<0> ,0.16,<0> ,0.1,<0> ,96.3,<0> ,9.4,<0> ,0.41,<0> ,0.39,<3> ,"",<-1> ,"","",7.5,<0> ,74,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 18:45,0,1,"",16.3,<0> ,0.16,<0> ,0.1,<0> ,97.5,<0> ,9.6,<0> ,0.44,<0> ,0.42,<3> ,"",<-1> ,"","",7.6,<0> ,74,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 19:00,0,1,"",16.3,<0> ,0.17,<0> ,0.1,<0> ,98.6,<0> ,9.7,<0> ,0.47,<0> ,0.45,<3> ,"",<-1> ,"","",7.6,<0> ,78,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 19:15,0,1,"",14.9,<0> ,0.15,<0> ,0.1,<0> ,93.2,<0> ,9.4,<0> ,0.48,<0> ,0.45,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 19:30,0,1,"",15.5,<0> ,0.16,<0> ,0.1,<0> ,93.8,<0> ,9.4,<0> ,0.46,<0> ,0.43,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 19:45,0,1,"",15.3,<0> ,0.16,<0> ,0.1,<0> ,93.1,<0> ,9.3,<0> ,0.45,<0> ,0.41,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 20:00,0,1,"",15.3,<0> ,0.16,<0> ,0.1,<0> ,93.2,<0> ,9.3,<0> ,0.47,<0> ,0.43,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 20:15,0,1,"",15.2,<0> ,0.16,<0> ,0.1,<0> ,92.8,<0> ,9.3,<0> ,0.47,<0> ,0.42,<3> ,"",<-1> ,"","",7.5,<0> ,75,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 20:30,0,1,"",15.2,<0> ,0.16,<0> ,0.1,<0> ,92.4,<0> ,9.3,<0> ,0.49,<0> ,0.44,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 20:45,0,1,"",14.9,<0> ,0.15,<0> ,0.1,<0> ,91.4,<0> ,9.2,<0> ,0.51,<0> ,0.45,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 21:00,0,1,"",15.0,<0> ,0.16,<0> ,0.1,<0> ,91.5,<0> ,9.2,<0> ,0.53,<0> ,0.46,<3> ,"",<-1> ,"","",7.5,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 21:15,0,1,"",14.6,<0> ,0.15,<0> ,0.1,<0> ,89.8,<0> ,9.1,<0> ,0.55,<0> ,0.48,<3> ,"",<-1> ,"","",7.5,<0> ,73,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 21:30,0,1,"",14.7,<0> ,0.15,<0> ,0.1,<0> ,90.2,<0> ,9.2,<0> ,0.56,<0> ,0.49,<3> ,"",<-1> ,"","",7.5,<0> ,71,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 21:45,0,1,"",14.7,<0> ,0.16,<0> ,0.1,<0> ,90.6,<0> ,9.2,<0> ,0.57,<0> ,0.5,<3> ,"",<-1> ,"","",7.5,<0> ,71,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 22:00,0,1,"",14.4,<0> ,0.15,<0> ,0.1,<0> ,89.4,<0> ,9.1,<0> ,0.54,<0> ,0.46,<3> ,"",<-1> ,"","",7.4,<0> ,72,<0> ,"",<-1> ,
"lkspowq  ","P",05/06/2025 22:15,0,1,"",14.6,<0> ,0.16,<0> ,0.1,<0> ,90.3,<0> ,9.2,<0> ,0.54,<0> ,0.46,<3> ,"",<-1> ,"","",7.5,<0> ,71,<0> ,"",<-1> ,
